  0.11070473E+00  0.54340310E-02  0.47236576E-02 -0.51455690E-01
  0.11139663E+00  0.54135796E-02  0.47549306E-02 -0.51778159E-01
  0.11208854E+00  0.53923779E-02  0.47857594E-02 -0.52100458E-01
  0.11278044E+00  0.53704291E-02  0.48161428E-02 -0.52422574E-01
  0.11347235E+00  0.53477365E-02  0.48460799E-02 -0.52744493E-01
  0.11416425E+00  0.53243036E-02  0.48755704E-02 -0.53066202E-01
  0.11485616E+00  0.53001340E-02  0.49046143E-02 -0.53387689E-01
  0.11554806E+00  0.52752314E-02  0.49332120E-02 -0.53708939E-01
  0.11623997E+00  0.52495996E-02  0.49613645E-02 -0.54029938E-01
  0.11693187E+00  0.52232427E-02  0.49890731E-02 -0.54350673E-01
  0.11762378E+00  0.51961646E-02  0.50163396E-02 -0.54671128E-01
  0.11831568E+00  0.51683697E-02  0.50431662E-02 -0.54991289E-01
  0.11900758E+00  0.51398621E-02  0.50695557E-02 -0.55311140E-01
  0.11969949E+00  0.51106465E-02  0.50955110E-02 -0.55630667E-01
  0.12039139E+00  0.50807272E-02  0.51210358E-02 -0.55949853E-01
  0.12108330E+00  0.50501092E-02  0.51461339E-02 -0.56268683E-01
  0.12177520E+00  0.50187970E-02  0.51708097E-02 -0.56587140E-01
  0.12246711E+00  0.49867957E-02  0.51950681E-02 -0.56905208E-01
  0.12315901E+00  0.49541103E-02  0.52189144E-02 -0.57222871E-01
  0.12385092E+00  0.49207459E-02  0.52423541E-02 -0.57540111E-01
  0.12454282E+00  0.48867078E-02  0.52653933E-02 -0.57856912E-01
  0.12523473E+00  0.48520014E-02  0.52880386E-02 -0.58173255E-01
  0.12592663E+00  0.48166322E-02  0.53102967E-02 -0.58489124E-01
  0.12661853E+00  0.47806057E-02  0.53321752E-02 -0.58804500E-01
  0.12731044E+00  0.47439277E-02  0.53536815E-02 -0.59119366E-01
  0.12800234E+00  0.47066040E-02  0.53748239E-02 -0.59433702E-01
  0.12869425E+00  0.46686405E-02  0.53956108E-02 -0.59747491E-01
  0.12938615E+00  0.46300432E-02  0.54160511E-02 -0.60060713E-01
  0.13007806E+00  0.45908182E-02  0.54361540E-02 -0.60373351E-01
  0.13076996E+00  0.45509719E-02  0.54559291E-02 -0.60685384E-01
  0.13146187E+00  0.45105104E-02  0.54753864E-02 -0.60996793E-01
  0.13215377E+00  0.44694402E-02  0.54945362E-02 -0.61307559E-01
  0.13284568E+00  0.44277679E-02  0.55133893E-02 -0.61617662E-01
  0.13353758E+00  0.43855000E-02  0.55319566E-02 -0.61927083E-01
  0.13422948E+00  0.43426433E-02  0.55502494E-02 -0.62235800E-01
  0.13492139E+00  0.42992046E-02  0.55682794E-02 -0.62543794E-01
  0.13561329E+00  0.42551907E-02  0.55860586E-02 -0.62851045E-01
  0.13630520E+00  0.42106086E-02  0.56035993E-02 -0.63157532E-01
  0.13699710E+00  0.41654654E-02  0.56209140E-02 -0.63463234E-01
  0.13768901E+00  0.41197682E-02  0.56380156E-02 -0.63768131E-01
  0.13838091E+00  0.40735243E-02  0.56549172E-02 -0.64072201E-01
  0.13907282E+00  0.40267409E-02  0.56716322E-02 -0.64375424E-01
  0.13976472E+00  0.39794253E-02  0.56881742E-02 -0.64677778E-01
  0.14045663E+00  0.39315852E-02  0.57045571E-02 -0.64979242E-01
  0.14114853E+00  0.38832279E-02  0.57207951E-02 -0.65279795E-01
  0.14184043E+00  0.38343611E-02  0.57369024E-02 -0.65579415E-01
  0.14253234E+00  0.37849925E-02  0.57528936E-02 -0.65878080E-01
  0.14322424E+00  0.37351297E-02  0.57687834E-02 -0.66175769E-01
  0.14391615E+00  0.36847805E-02  0.57845867E-02 -0.66472460E-01
  0.14460805E+00  0.36339528E-02  0.58003187E-02 -0.66768131E-01
  0.14529996E+00  0.35826546E-02  0.58159944E-02 -0.67062761E-01
  0.14599186E+00  0.35308936E-02  0.58316294E-02 -0.67356327E-01
  0.14668377E+00  0.34786781E-02  0.58472391E-02 -0.67648808E-01
  0.14737567E+00  0.34260159E-02  0.58628392E-02 -0.67940180E-01
  0.14806758E+00  0.33729153E-02  0.58784454E-02 -0.68230423E-01
  0.14875948E+00  0.33193844E-02  0.58940735E-02 -0.68519514E-01
  0.14945138E+00  0.32654314E-02  0.59097394E-02 -0.68807432E-01
  0.15014329E+00  0.32110645E-02  0.59254592E-02 -0.69094152E-01
  0.15083519E+00  0.31562920E-02  0.59412488E-02 -0.69379655E-01
  0.15152710E+00  0.31011221E-02  0.59571242E-02 -0.69663917E-01
  0.15221900E+00  0.30455634E-02  0.59731017E-02 -0.69946917E-01
  0.15291091E+00  0.29896240E-02  0.59891972E-02 -0.70228632E-01
  0.15360281E+00  0.29333125E-02  0.60054269E-02 -0.70509040E-01
  0.15429472E+00  0.28766371E-02  0.60218068E-02 -0.70788119E-01
  0.15498662E+00  0.28196064E-02  0.60383529E-02 -0.71065848E-01
  0.15567853E+00  0.27622289E-02  0.60550814E-02 -0.71342203E-01
  0.15637043E+00  0.27045129E-02  0.60720080E-02 -0.71617164E-01
